measure,f1,f2,f3
li,-0.38888888888888884,1.0,3.0
li,-0.379,0.99,3.0
li,-0.3626666666666667,0.68,2.0
li,-0.3498888888888889,0.67,2.0
li,0.01100000000000001,0.11,2.0
li,-0.7543333333333334,0.93,2.0
li,-0.18488888888888888,0.76,3.0
li,-0.34986666666666655,0.96,3.0
li,-0.33733333333333326,0.66,2.0
li,-0.736,0.92,2.0
li,-0.18488888888888888,0.52,2.0
li,-0.3128888888888889,0.64,2.0
li,-0.31279999999999997,0.92,3.0
li,-0.16666666666666663,0.5,2.0
li,-0.17566666666666664,0.51,2.0
li,-0.30099999999999993,0.63,2.0
li,-0.2776888888888889,0.88,3.0
li,-0.2530888888888888,0.85,3.0
li,-0.15699999999999992,0.72,3.0
li,-0.27788888888888885,0.61,2.0
li,-0.26926666666666654,0.87,3.0
li,-0.6648888888888889,0.88,2.0
li,-0.24488888888888882,0.58,2.0
li,-0.14408888888888893,0.7,3.0
li,-0.23699999999999988,0.8300000000000001,3.0
li,-0.047666666666666635,0.33,2.0
li,-0.2453333333333333,0.8400000000000001,3.0
li,-0.6476666666666666,0.87,2.0
li,-0.13288888888888883,0.46,2.0
li,-0.28633333333333333,0.89,3.0
li,-0.6476666666666666,0.87,2.0
li,-0.6306666666666665,0.86,2.0
li,-0.23433333333333328,0.57,2.0
li,-0.6306666666666665,0.86,2.0
li,-0.6138888888888887,0.85,2.0
li,-0.11953333333333327,0.66,3.0
li,-0.20399999999999996,0.54,2.0
li,-0.6138888888888887,0.85,2.0
li,-0.13146666666666662,0.68,3.0
li,-0.5973333333333332,0.84,2.0
li,-0.581,0.83,2.0
li,-0.2556666666666666,0.59,2.0
li,-0.581,0.83,2.0
li,-0.5648888888888888,0.82,2.0
li,-0.020999999999999908,0.27,2.0
li,-0.26106666666666656,0.86,3.0
li,-0.5648888888888888,0.82,2.0
li,-0.549,0.81,2.0
li,-0.09308888888888889,0.6100000000000001,3.0
li,-0.3756666666666666,0.69,2.0
li,-0.15788888888888875,0.49,2.0
li,-0.12548888888888887,0.67,3.0
li,-0.0719333333333333,0.5700000000000001,3.0
li,-0.32499999999999996,0.65,2.0
li,-0.07688888888888878,0.5800000000000001,3.0
li,-0.06719999999999993,0.56,3.0
li,-0.4728888888888888,0.76,2.0
li,-0.22888888888888892,0.8200000000000001,3.0
li,-0.2626666666666666,0.8600000000000001,3.0
li,-0.0626888888888888,0.55,3.0
li,-0.29499999999999993,0.9,3.0
li,-0.08206666666666662,0.5900000000000001,3.0
li,-0.09893333333333332,0.6200000000000001,3.0
li,-0.05166666666666664,0.51,3.0
li,-0.08666666666666667,0.6,3.0
li,-0.22868888888888872,0.82,3.0
li,-0.028999999999999915,0.29,2.0
li,-0.4159999999999999,0.72,2.0
li,-0.04028888888888882,0.49,3.0
li,-0.06988888888888889,0.37,2.0
li,-0.22399999999999998,0.56,2.0
li,-0.05840000000000001,0.54,3.0
li,-0.0076666666666665995,0.23,2.0
li,-0.03593333333333326,0.48,3.0
li,-0.02488888888888885,0.28,2.0
li,-0.017888888888888843,0.43000000000000005,3.0
li,-0.05793333333333328,0.53,3.0
li,-0.11733333333333329,0.44,2.0
li,-0.3404666666666666,0.95,3.0
li,-0.3756666666666666,0.69,2.0
li,-0.09733333333333327,0.62,3.0
li,-0.33108888888888877,0.94,3.0
li,-0.011666666666666603,0.41000000000000003,3.0
li,-0.06399999999999995,0.36,2.0
li,0.013000000000000012,0.29000000000000004,3.0
li,-0.03179999999999994,0.47,3.0
li,-0.35948888888888875,0.97,3.0
li,-0.16666666666666663,0.5,2.0
li,-0.32499999999999996,0.65,2.0
li,-0.009088888888888813,0.4,3.0
li,-0.014666666666666606,0.42000000000000004,3.0
li,-0.01388888888888884,0.25,2.0
li,-0.02980000000000005,0.45000000000000007,3.0
li,-0.0048888888888888316,0.22,2.0
li,-0.3038888888888889,0.91,3.0
li,-0.01733333333333331,0.26,2.0
